id,short_channel_id
0,513926x395x1
1,514290x529x0
2,514364x544x0
3,514399x1089x0
4,514596x1222x0
5,514861x2316x1
6,515311x786x0
7,515419x1415x0
8,515451x2186x1
9,515808x672x1
10,516234x320x0
11,516248x1403x0
12,516317x2188x0
13,516342x1493x0
14,516478x1571x1
15,516795x1272x0
16,517215x598x1
17,517280x667x0
18,517554x745x1
19,518220x2370x1
20,518226x938x0
21,518336x2287x0
22,518672x2801x0
23,519848x1429x0
24,519965x599x0
25,521038x1479x0
26,522413x1869x0
27,522523x2107x1
28,522646x1914x0
29,523111x940x1
30,523356x1146x0
31,524662x1378x1
32,524752x772x0
33,525030x894x0
34,526038x951x1
35,526045x310x1
36,526112x251x1
37,526454x570x1
38,526602x1710x0
39,527526x1468x1
40,527530x1025x1
41,527727x1285x0
42,527730x784x0
43,527762x1142x1
44,528038x206x0
45,528181x1103x0
46,528461x1171x1
47,528700x2306x1
48,528705x2638x0
49,528828x506x1
50,529154x614x1
51,529459x1761x1
52,529468x1291x1
53,529536x1019x1
54,529579x982x0
55,529582x2381x0
56,529584x794x0
57,529606x1807x1
58,529614x1551x1
59,530056x2638x1
60,530079x1434x1
61,530188x1703x0
62,530234x1526x0
63,530479x1311x1
64,530654x542x0
65,530869x1310x0
66,530981x2243x0
67,530983x789x1
68,531092x807x1
69,531120x622x0
70,531390x776x0
71,531398x895x1
72,531525x1034x1
73,531603x2317x1
74,531623x2128x0
75,531784x862x1
76,532044x813x0
77,532046x1705x0
78,532049x672x0
79,532275x2250x0
80,532395x942x1
81,532525x643x1
82,532695x975x1
83,532722x554x1
84,533158x1547x0
85,533187x2423x1
86,533217x1226x0
87,533390x1473x0
88,533422x1366x1
89,533599x245x0
90,533652x2049x1
91,533681x335x0
92,533785x601x0
93,533805x986x0
94,533879x1016x0
95,533973x699x0
96,533973x721x0
97,534074x993x0
98,534077x1016x1
99,534116x1887x0
100,534421x2738x0
101,534563x1811x1
102,534721x1506x0
103,534826x1197x0
104,535061x236x0
105,535067x2262x0
106,535230x1066x0
107,535306x207x1
108,535388x1097x0
109,535833x499x1
110,535867x934x0
111,535910x447x0
112,535928x1950x0
113,535928x1954x0
114,536079x2143x1
115,536224x1258x1
116,536260x2053x0
117,536268x2177x0
118,536339x1721x0
119,536347x2128x0
120,536348x721x0
121,536362x1645x0
122,536364x2107x0
123,536376x712x0
124,536384x1071x0
125,536392x1241x0
126,536399x606x1
127,536459x1973x1
128,536495x1330x1
129,536524x410x1
130,536640x302x0
131,536737x1609x0
132,536738x2543x1
133,536765x1274x0
134,536767x2544x1
135,536778x1593x0
136,536788x965x1
137,536875x1903x0
138,536880x1332x0
139,536883x458x0
140,536892x359x0
141,536900x349x0
142,536905x1756x0
143,536929x1511x0
144,537012x1058x0
145,537037x2489x0
146,537162x1068x1
147,537223x509x1
148,537393x1267x0
149,537397x1069x0
150,537397x1072x0
151,537401x564x0
152,537504x1626x1
153,537546x1504x1
154,537568x999x0
155,537568x1079x0
156,537646x703x0
157,537679x1633x0
158,537683x392x0
159,537685x1597x1
160,537691x2323x0
161,537692x1475x0
162,537694x936x1
163,537699x1751x0
164,537795x1487x1
165,537825x1773x1
166,538082x811x1
167,538098x36x1
168,538122x2093x0
169,538133x1949x1
170,538173x1351x0
171,538217x2866x1
172,538280x656x0
173,538435x560x1
174,538440x2265x0
175,538449x1052x0
176,538473x1517x0
177,538583x386x1
178,538735x1646x1
179,538735x1744x1
180,538852x365x0
181,538918x1036x1
182,539048x830x0
183,539048x831x0
184,539072x1388x0
185,539238x970x1
186,539365x1953x0
187,539365x1955x1
188,539673x2178x0
189,539743x968x0
190,539773x1126x1
191,539827x1299x1
192,539867x402x0
193,539889x852x1
194,539935x1836x0
195,540024x183x1
196,540086x1067x0
197,540215x1514x0
198,540440x890x0
199,540468x915x1
200,540468x917x1
201,540468x918x1
202,540469x827x1
203,540594x661x0
204,540688x986x0
205,540823x1144x0
206,540911x693x1
207,540955x1103x0
208,540983x728x0
209,541045x1888x0
210,541141x1883x1
211,541141x1884x1
212,541153x1771x0
213,541195x1935x0
214,541354x272x1
215,541427x1669x1
216,541451x234x0
217,541480x1637x0
218,541480x2052x1
219,541542x2083x1
220,541547x1018x1
221,541601x953x1
222,541995x1714x1
223,542006x1374x1
224,542146x152x1
225,542579x1697x0
226,542603x2485x0
227,542703x914x1
228,542871x2664x0
229,542892x2093x0
230,543038x654x1
231,543058x235x1
232,543135x1188x0
233,543321x11x1
234,543333x2658x1
235,543344x1522x1
236,543409x1641x1
237,543601x989x0
238,543623x1607x1
239,543832x529x0
240,543951x827x1
241,544101x1265x1
242,544240x2516x0
243,544589x933x0
244,544662x1297x1
245,544663x672x0
246,544818x1881x0
247,545077x2064x0
248,545218x820x0
249,545308x1446x1
250,545608x2459x1
251,545645x1874x0
252,545653x1317x1
253,545671x1277x0
254,545749x2499x1
255,545897x2647x0
256,546041x590x1
257,546382x1369x0
258,546622x1044x1
259,547033x2054x1
260,547163x1755x0
261,547196x623x1
262,547196x698x0
263,547198x1090x0
264,547407x2232x0
265,547450x406x0
266,547489x219x1
267,547519x571x0
268,547590x1037x0
269,547667x1359x0
270,547716x1538x1
271,547834x1643x1
272,547941x2216x0
273,548175x2057x1
274,548181x1383x1
275,548312x833x1
276,548321x2120x0
277,548504x741x1
278,548519x783x0
279,548628x2613x1
280,548728x1107x1
281,548759x373x1
282,548805x1895x0
283,548840x1066x1
284,548905x2375x1
285,548910x844x0
286,548910x1612x1
287,548912x122x1
288,548924x725x1
289,549025x2102x0
290,549028x2251x1
291,549037x2739x0
292,549040x396x0
293,549051x489x1
294,549075x1487x0
295,549198x1649x0
296,549200x3309x0
297,549201x1100x0
298,549205x679x0
299,549206x739x0
300,549209x370x0
301,549253x1110x0
302,549302x1731x1
303,549330x2386x1
304,549399x3047x0
305,549410x1804x0
306,549451x1073x1
307,549524x2763x1
308,549524x2764x1
309,549554x421x0
310,549847x1049x0
311,549970x1038x0
312,549970x1042x0
313,549987x1228x0
314,549989x724x0
315,549991x2493x0
316,550030x1227x0
317,550095x3090x0
318,550102x1070x0
319,550103x2320x0
320,550114x242x0
321,550150x1091x1
322,550185x731x1
323,550188x1926x0
324,550269x370x0
325,550271x1159x0
326,550299x1638x0
327,550314x1359x0
328,550318x1873x1
329,550320x1185x0
330,550321x1438x0
331,550329x754x0
332,550329x969x0
333,550333x1405x0
334,550334x1473x0
335,550334x1704x0
336,550334x1707x0
337,550338x1497x0
338,550338x1533x0
339,550338x1642x0
340,550338x1752x0
341,550339x2288x0
342,550341x759x0
343,550341x809x0
344,550344x1091x0
345,550347x717x0
346,550349x147x0
347,550350x1975x0
348,550374x653x0
349,550376x1947x0
350,550381x835x0
351,550381x840x0
352,550400x1206x1
