node_id,betweenness_count,balance(millisat)
12547,1268,20000000
1518,1268,793192500
1077,1268,250000000
598,1268,27552863500
1028,1267,30784378500
975,1267,252922000
527,1267,1703644000
122,1267,86055000
1008,1266,1613893513000
1401,1265,150000000
613,1265,600000000
497,1265,251234500
481,1265,192247000
796,1264,1429686500
179,1264,1000000000
18079,1263,500000000
944,1262,100000000
749,1262,410913500
193,1262,71629324000
46,1262,455549002500
1691,1261,100593000
1570,1261,300000000
632,1260,850000000
574,1260,10200000000
1448,1259,1200000000
1790,1257,196371500
1430,1257,500000000
362,1257,1740000000
1029,1256,1849454500
790,1256,500000000
1994,1255,20816651500
573,1255,4500000000
51,1255,213531304500
201,1254,119135000
347,1253,199870440500
1231,1252,680000000
7718,1251,33388607500
572,1251,4500000000
129,1251,6797165000
1714,1250,2789176500
218,1250,141281000
113,1250,238999148000
1966,1249,500000000
1303,1249,7191643500
621,1249,7881853500
1964,1248,497877500
49,1248,100000000
1321,1247,282385500
18083,1246,2000000000
1076,1246,1196301500
429,1246,3750000000
408,1246,297204500
1535,1245,1231369000
1061,1245,18713682500
983,1245,2500000000
766,1245,577501500
581,1245,20099682500
415,1245,17777215000
197,1245,16280899000
1709,1244,146056500
1612,1244,4112790500
1490,1244,100000000
1165,1244,100000000
575,1244,380171000
18094,1243,541168500
8960,1243,35000000
1306,1243,1772470500
993,1243,3203494000
636,1243,360000000
228,1242,1250000000
1626,1241,799157000
1021,1241,1887212000
648,1241,26972839000
416,1241,750000000
414,1241,1964922000
308,1241,150000000
1098,1240,893614500
1020,1240,175000000
594,1240,10000000
136,1240,13638607500
1057,1239,1054500000
1410,1238,300000000
369,1238,15221979000
1607,1237,130000000
1967,1236,155989000
1497,1236,382551000
1434,1236,30000000
953,1236,57214000
590,1236,275000000
1451,1235,1010000000
1346,1235,50000000
911,1235,1500000000
597,1235,400000000
397,1235,117038500
1661,1234,87439500
8961,1233,35000000
1400,1233,16622952500
1014,1233,5000000000
861,1233,1378258500
729,1233,205532000
341,1232,34904000
1500,1231,48600000
261,1231,60233894000
1009,1230,5877987177500
1923,1229,324146000
167,1229,133250500
1586,1228,719163000
556,1228,13492078000
260,1228,28276108000
905,1227,344331500
453,1227,201129000
417,1227,900000000
1755,1226,145644500
1501,1226,112087000
1067,1226,13681488500
955,1226,2500000000
18095,1224,3000000000
1534,1224,121606593000
990,1224,75000000
561,1224,446975000
511,1224,174919000
1660,1223,85000000
1211,1223,78750000
904,1223,500000000
466,1223,13519109500
462,1223,1126434000
1713,1222,2500000000
18077,1221,1300000000
1210,1221,40181500
1073,1221,59608000
748,1221,75000000
246,1221,1234488004000
1859,1219,1226059500
11063,1218,1150000000
1935,1218,1385040500
1901,1218,2050000000
1060,1218,667487000
560,1218,100000000
219,1218,450000000
974,1217,681171000
480,1217,1795521500
1253,1216,63841500
626,1216,149000000
1234,1215,272573296000
1158,1215,1220287000
165,1215,103274500
449,1214,175000000
96,1214,38362000
463,1213,200000000
259,1213,1608447449500
1447,1211,90000000
1244,1211,220285000
1099,1210,50000000
274,1210,449999500
1874,1209,50000000
1519,1209,5111261000
533,1209,1225762500
50,1209,252402728500
1894,1208,6406582500
1650,1208,133520500
1571,1208,75000000
9,1208,14971950000
532,1207,189484000
1322,1205,4300000000
1230,1205,694500500
1175,1205,1067080000
1056,1205,182373500
501,1205,305098500
258,1205,250000000
196,1205,50000000
946,1204,90244000
1208,1203,100000000
273,1203,133371000
18082,1202,10000000
754,1202,250000000
166,1202,155322000
1616,1201,18200000000
1694,1200,100000000
428,1200,305601000
346,1200,119850500
664,1199,62509277500
1758,1198,114509000
1611,1198,1351603000
880,1198,916909500
557,1198,202673000
1300,1196,500000000
1164,1195,1500000000
862,1195,2060000000
551,1195,4148034000
78,1195,2900000000
599,1194,39577500
48,1192,86276000
1174,1191,187717000
439,1191,27500000
15238,1190,25000000
472,1190,40519500
438,1190,50000000
147,1189,1206644500
70,1189,132934000
1476,1188,5835500000
11541,1187,25000000
1227,1187,14200000000
1811,1186,2500000000
996,1186,65000000
937,1186,1252500000
596,1186,34141000
519,1186,100000000
1866,1185,120000000
1245,1185,3185991500
513,1185,1594576500
512,1185,12362603500
1965,1183,30105000
895,1183,250000000
894,1183,80000000
393,1182,150000000
767,1181,99509000
1810,1179,77950000
1606,1179,238550000
94,1179,2782000000
1066,1178,250000000
1617,1177,1592741000
1444,1176,5092716500
368,1176,27316500
11111,1175,100000000
425,1175,401729000
59,1175,88358000
1260,1174,2947165500
637,1174,3400000000
424,1174,3750000000
1681,1173,224247000
558,1173,278408000
89,1173,150000000
256,1168,1331435506000
1521,1166,150000000
1431,1166,120000000
1307,1166,180201572000
591,1166,11238986500
1729,1165,203663500
758,1165,1974801000
88,1165,4116060000
247,1164,2098886806500
550,1163,150000000
1235,1162,4720282500
631,1162,19436553500
1619,1161,499537000
947,1161,57718000
520,1161,467935500
436,1161,9334561000
858,1160,499903000
1,1160,52500000
1995,1159,537933500
364,1159,48977000
6,1159,34759690500
1111,1158,50000000
1011,1158,1608439856500
255,1158,1191128786500
467,1157,1652815243000
927,1156,3085740500
718,1155,138012000
517,1155,38498222000
1912,1154,14133448500
265,1154,1795633925000
910,1153,180861000
1764,1152,31318500
1110,1152,71414500
500,1152,8388607500
1120,1151,222403000
1913,1150,1357206500
856,1148,678756500
214,1148,1831386500
79,1148,1000000000
12550,1147,1250000000
1762,1147,14260071000
1477,1147,2349206000
1405,1147,42302500
879,1147,82839000
860,1147,50000000
15239,1146,25000000
775,1146,179399000
1159,1145,84002000
47,1145,44570500
338,1144,100000000
151,1143,25000000
1914,1142,57224879000
1361,1142,97922500
755,1142,315000000
187,1142,133243500
3167,1141,401752000
1759,1141,143094000
1957,1140,50000000
1858,1140,70865000
723,1140,9132762000
611,1140,333015000
257,1140,38128714500
1799,1139,101465500
1446,1139,265000000
516,1139,150000000
107,1139,25000000
1867,1138,1060000000
1520,1137,50000000
489,1137,73169969000
8,1137,281937000
1710,1136,1528817000
1826,1134,2500000000
